LOG FILE:
 
 
P0: 0, 0, 1, 2
P1: 3, 0, 1, 2
P2: 0, 2, 1, 2
P3: 3, 2, 1, 2
P4: 1, 2, 2, 1
P5: 0, 4, 1, 1
P6: 3, 4, 1, 1
P7: 1, 3, 1, 1
P8: 2, 4, 1, 1
P9: 1, 0, 2, 2
N: 1

P0: 0, 0, 1, 2
P1: 3, 0, 1, 2
P2: 0, 2, 1, 2
P3: 3, 2, 1, 2
P4: 1, 2, 2, 1
P5: 0, 4, 1, 1
P6: 3, 4, 1, 1
P7: 1, 3, 1, 1
P8: 1, 4, 1, 1
P9: 1, 0, 2, 2
N: 2

P0: 0, 0, 1, 2
P1: 3, 0, 1, 2
P2: 0, 2, 1, 2
P3: 3, 2, 1, 2
P4: 1, 2, 2, 1
P5: 0, 4, 1, 1
P6: 3, 4, 1, 1
P7: 1, 3, 1, 1
P8: 2, 4, 1, 1
P9: 1, 0, 2, 2
N: 3

P0: 0, 0, 1, 2
P1: 3, 0, 1, 2
P2: 0, 2, 1, 2
P3: 3, 2, 1, 2
P4: 1, 2, 2, 1
P5: 0, 4, 1, 1
P6: 3, 4, 1, 1
P7: 1, 3, 1, 1
P8: 2, 3, 1, 1
P9: 1, 0, 2, 2
N: 4

